Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,,,,
Wikipedia,360574,At <url> there's a request that seems to cry out for a Wikipedian with a subscription to the Daily Gleaner. Might you be able to help?,17,17,21,19,24,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,AVWFW00UYDVUD,AD1IH74UX9IAI,A38N58BSMTA0BE,1.179860952,19.6,Polite,0.411340379,,,
092011 Stack Overflow,4563557,Are you studying computer science? Whats your background in programming and computer science?,17,15,18,17,21,A2UFD1I8ZO1V4G,A125P73OQSRNI5,A3EJ5TT2ZGBIDA,A17G2LOYX7WQZ,A3DKR227NQCH4X,0.637384018,17.6,Polite,0.18033413,,,
Wikipedia,190312,"I think I lot of the things on the Methuselah page are very interesting, but perhaps should be transferred to the Biblical Generations article, if they touch on more than just Methuselah. Would you agree?",13,20,20,21,21,A233ONYNWKDIYF,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A204JAK7QRDWVM,A1KC138MX47DXA,0.768313564,19,Polite,0.565461095,,,
092011 Drupal Answers,3922,"Well, what does the message say? It must give some more detail than that *somewhere?*",9,21,20,21,23,AO3XB5I5QNNUI,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A32VJLRWGMYGSU,ARX0S1CIDJLOX,1.537479728,18.8,Polite,0.81363192,,,
092011 Stack Overflow,7684924,"It sounds like you are using some kind of survey engine. Are you, and if so which one?",17,21,16,17,21,A2UFD1I8ZO1V4G,A1KC138MX47DXA,AD1IH74UX9IAI,A2BKPNKU3EG41Z,A38EGQEYZHRQNC,0.805390784,18.4,Polite,0.788965513,,,
Wikipedia,591512,"Hi, thanks for unprotecting the <url> article. Could you also unprotect <url> so a redirect can be created?",15,21,17,17,21,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A2AMGE57IJVSHF,0.985612296,18.2,Polite,0.674359729,,,
Wikipedia,623072,And now you undid my declination of that one which was copyrighted. Would you ''please'' quit undoing my declinations?,9,13,5,2,5,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A872FSFU7WV6W,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,-1.700766348,6.8,Rude,0.90029624,,,
Wikipedia,213314,"What, you are saying that nothing published at mises.org is a reliable source? What is your basis for asserting that?",1,2,13,10,5,A233ONYNWKDIYF,AZN83WTGUR1JZ,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A29B522D0BX6HN,-1.735887211,6.2,Rude,0.366300168,,,
092011 Bicycles,5588,Thankyou - best answer so far! Did you buy these shoes so you could ride in to work and wear them all day? or did you not fancy any of the 'Shimano golf shoes'?,17,25,25,25,21,A233ONYNWKDIYF,A3OZ8KF0HWSVWK,ARYGQ46IMW8AU,A309BLCQJHQULO,A3IS283P2CECZJ,1.65890905,22.6,Polite,0.008099388,,,
Wikipedia,620645,"Yeah, thank you so much. Can anyone do that or only admins?",19,21,21,19,25,ANMGOZ451W9ZN,AW6UIL04MLQ9N,ATVSN1P3Z1NRY,AC25X12LNYY6Y,A2MWGIVIKOXWYM,1.472376987,21,Polite,0.952298963,,,
092011 Ask Ubuntu,65037,"Very informative about your daily life, but not a question. Can you please ask a clear question?",9,5,13,2,9,AYG3MF094634L,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,ARX0S1CIDJLOX,A1LRRDBA84ITCJ,-1.404497805,7.6,Rude,0.73545121,,,
092011 Stack Overflow,8662655,I'd think the issue is that the tabs are starting from different column numbers because of longer and shorter filenames. Could you change it to `puts [OK]\t\tx` so that the OKs line up and the filenames start at the same column?,16,17,21,15,20,A33SMNMTMIOJ6T,A1M1T2EF4Y2IW8,A1KC138MX47DXA,A2BKPNKU3EG41Z,A2WGBPEN45GJNF,0.78024634,17.8,Polite,0.976170361,,,
092011 Theoretical Computer Science,3500,"You added the tag [approximation-hardness].  Can you elaborate on how this question is related to hardness of approximation, preferably in the question?",17,17,17,24,21,AO3XB5I5QNNUI,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2J65ZHAJQDKAC,A32VJLRWGMYGSU,1.192575028,19.2,Polite,0.753736501,,,
Wikipedia,629771,"Thanks, I tried to do that but don't know how to do it? Can you help?",22,14,20,20,20,ANGX5PAAYGL9P,ANMGOZ451W9ZN,A1KC138MX47DXA,A1F4D2PZ7NNWTL,AZ1RJVNOZFIWV,0.840699221,19.2,Polite,0.597870464,,,
Wikipedia,526718,"ER, I was wondering if <url> would be a good candidate for featured bio in the portal, since he was the first United States Marine Corps officer, in history to take command of a Naval flotilla. What do you think?",17,21,25,18,13,A2YFPO0N4GIS25,A34A6MSJTD9A4L,A204JAK7QRDWVM,A1KC138MX47DXA,A13CO3B2BRXQLZ,0.788529408,18.8,Polite,0.734144846,,,
Wikipedia,626768,"Could you take a look at the article now and see whether your concerns (except the reorganization) have been addressed? If not, what is still missing, and what technical terms do you feel need explaining?",21,20,17,17,16,A233ONYNWKDIYF,A6YO9886DY2SC,A3EJ5TT2ZGBIDA,A1DTQSIIYIZL62,A1Y3Z92RE62NPS,1.039817655,18.2,Polite,0.944107692,,,
Wikipedia,179068,now???,9,6,5,13,10,A233ONYNWKDIYF,AW6UIL04MLQ9N,A1BJTTNDDFZ3ZP,A2ULMYRKQMNNFG,A38WUWONC7EXTO,-1.118051322,8.6,Rude,0.02487276,,,
Wikipedia,49896,"Why have you included the Putnam Line in the MTA infobox, when it was never operated by the MTA (excepting the Marble Hill stub, which is hardly on a par with the Hudson Line, Harlem Line, etc.)?",11,16,1,5,9,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A2MWGIVIKOXWYM,A2NRW37D7QPLRE,A2LQ33BQ8G259D,-1.146256121,8.4,Rude,0.811466781,,,
Wikipedia,402288,"I think it is a great idea to merge my Geraldine Jones article to the flip Wilson show article, but I don't know how to do that. Can you help me?",17,13,25,13,25,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A3IHLWMZNBLUR4,0.704319388,18.6,Polite,0.708260735,,,
092011 Stack Overflow,4622176,I like your idea of relativ dimensions and positions. What didn't work well?,19,16,25,25,24,AGFHIO3UKJ9EF,A3EJ5TT2ZGBIDA,A1TWD4UTLWVYAQ,A2EV4INWSEBY6Q,A2PIUQICBRBZZY,1.173528535,21.8,Polite,0.173898034,,,
092011 Stack Overflow,5428610,Why not? And why on earth do you have these absurd constraints?,5,2,13,6,5,A1133ON5ALJKXJ,A3E157ZN8XPUKJ,A28TXBSZPWMEU9,A17G2LOYX7WQZ,A1F4D2PZ7NNWTL,-2.400956496,6.2,Rude,0.468513993,,,
Wikipedia,583139,"It was nominated for speedy deletion because he wasn't notable. However, if I undelete the page, will you improve the article and be able to provide decent sources to help his notability?",17,19,18,17,17,A233ONYNWKDIYF,AW6UIL04MLQ9N,A1BJTTNDDFZ3ZP,A2ULMYRKQMNNFG,A38WUWONC7EXTO,0.752552414,17.6,Polite,0.449882357,,,
Wikipedia,625953,"Will you accept that by renominating the article last night you were essentially discarding Delldot's and my previous review, as well as sidestepping Leevanjackson as the primary contributor to that article? If not, why?",21,16,18,17,17,A1R4VG71V6XECZ,A2WKPCZU4U110T,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,0.366756834,17.8,Polite,0.63842986,,,
Wikipedia,620627,?????????????????,5,9,7,1,5,A233ONYNWKDIYF,AE3D6SE2D8UPQ,AO5E3LWBYM72K,A3H7G3TQXAYGYD,AZOAW8JH5HJJK,-1.713040136,5.4,Rude,0.092567188,,,
092011 Stack Overflow,7280027,Right. Any idea where I plug in the OAuth2 stuff?,17,21,17,18,16,ARYGQ46IMW8AU,A2OTEOJC764LEP,AO3XB5I5QNNUI,A1TWD4UTLWVYAQ,A1Z7WT01G55LDC,0.742944534,17.8,Polite,0.477789097,,,
092011 GIS,15997,"thanks - that's what I feared, but it's good to hear that you found it workable. If this site is available, can you please let me know the URL?",21,17,21,17,13,A233ONYNWKDIYF,A23312XQ2AQ91W,A3E157ZN8XPUKJ,A2UFD1I8ZO1V4G,A1XKHXJ8CMIX7N,0.849712104,17.8,Polite,0.198311663,,,
Wikipedia,249713,Congratulations on your new daughter's arrival!  What's her name?,13,21,19,25,21,A233ONYNWKDIYF,A2ZKDPANCVA690,A22SZHZTF72TRM,AHH34KPTA2LSS,A37ADCYLCSB5O2,1.4207785,19.8,Polite,0.04811242,,,
Wikipedia,46615,"Hi, nice article.  What is meant by ""speculative townhouses?""  Ones that were built for prospective renters rather than for committed buyers?",21,17,17,21,17,A3I83CQLOZRO79,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A30BBO4BCZVILB,AIPK94CUWL45W,0.829104634,18.6,Polite,0.914728513,,,
092011 Web Applications,2887,"@GoodEnough It's not about other people reading your mail but about giving Google all your data. You now, *Do be evil* (or how was their slogan?).",17,17,17,21,22,A2TVQMMI5TNQPJ,A3RLCGRXA34GC0,A2UFD1I8ZO1V4G,A32VJLRWGMYGSU,A1FF4KWG1G44QE,1.169380291,18.8,Polite,0.281164919,,,
092011 Programmers,49611,Career advice questions like this one are too localized for this site. Please see [Are Career Advice questions useful for anyone except the poster](http://meta.programmers.stackexchange.com/questions/588/are-career-advice-questions-useful-to-anyone-except-the-poster/590#590)?,1,5,1,1,1,A233ONYNWKDIYF,A3RLCGRXA34GC0,A3E157ZN8XPUKJ,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,-3.960218907,1.8,Rude,0.387878333,,,
092011 Stack Overflow,2598387,"Would I be right to understand that, since you've posted this on SO, you are looking for a programming way to solve this question ?  Something like a rewrite system for propositions in Bayesian probabilities ?",17,19,16,19,17,A233ONYNWKDIYF,A3E157ZN8XPUKJ,A28TXBSZPWMEU9,A17G2LOYX7WQZ,A3DKR227NQCH4X,0.708880125,17.6,Polite,0.485554244,,,
092011 Stack Overflow,5928192,-1: For not specifying what is to be done later with the data. If you claim the question is open-ended (interview and all) then why accept an answer?,9,9,13,1,9,A3H8M155NBFE1L,A2NPNKSW89BODS,A1HBDQ0BJQBA4Q,A3DKR227NQCH4X,A3OY0OL2M0HUTT,-0.958823178,8.2,Rude,0.857994426,,,
Wikipedia,345103,"Why tag for deletion? It was obviously a new user's attempt at creating a disambiguation page, why not clean it up?",9,5,5,9,5,A233ONYNWKDIYF,A2EJ6MKRFATU5I,AD317NO9623GZ,A3S5L3I8O3Q2G,A3IHLWMZNBLUR4,-1.460303679,6.6,Rude,0.32110061,,,
Wikipedia,621567,I'm working on improving the references on Kulwicki's article to get more reliable ones. I've also worked on improving <url>'s article toward GA. Do you know much about drag racing?,21,17,17,19,17,A1J7EVLCZZQSEM,A16PRU8T6NZLN5,AEWF3138PFWEN,A1TMK6G1BLKVS2,A3EJ5TT2ZGBIDA,0.657083016,18.2,Polite,0.675742161,,,
Wikipedia,21293,"Hi, I understand that the WP:COI rules would still apply, regardless of username. Could you kindly approve the change in my user name from cecn to funshine?",21,22,25,25,17,A233ONYNWKDIYF,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,A3BY68N6X2BEGS,AIPK94CUWL45W,1.654451585,22,Polite,0.215660204,,,
Wikipedia,528412,"Hi, you recently speedily deleted this image and in your explanation stated that I, the uploader, was informed of this. I was not - please could you tell me why not?",21,17,14,17,21,APMYUTI3V3Y6R,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A2GODV4YZGD8X9,A29B522D0BX6HN,0.718095947,18,Polite,0.087750543,,,
Wikipedia,342431,???You wat?,9,6,9,3,1,ANMGOZ451W9ZN,AW6UIL04MLQ9N,ATVSN1P3Z1NRY,AC25X12LNYY6Y,A2MWGIVIKOXWYM,-1.794476356,5.6,Rude,0.194171474,,,
Wikipedia,619345,Thank you for your answer. What are the sources for region 4 (Australia) release dates?,17,17,25,19,17,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,1.144087995,19,Polite,0.197534087,,,
092011 Stack Overflow,8489478,What benefit will you gain if we do your homework for you? Why don't you do it yourself?,9,9,9,6,9,A1BS64O3JY0YJ4,A2UFD1I8ZO1V4G,A320SR22MPGY17,AD1IH74UX9IAI,A2WGBPEN45GJNF,-1.822326146,8.4,Rude,0.830513343,,,
092011 Cooking,3827,"It depends on what you are cooking with the egg, because they have a few different roles in a dish. Can you provide more information on which dish you are cooking where you want to replace the egg?",21,22,17,25,25,A233ONYNWKDIYF,A1KC138MX47DXA,A2UFD1I8ZO1V4G,A1FF4KWG1G44QE,A13HSR88OUNIVP,1.569345247,22,Polite,0.429947979,,,
092011 Stack Overflow,4607001,"Well, when you call `new Class();`, it returns a pointer to the location of that instance of the class. Is that what you are referring to?",18,17,13,21,21,A1133ON5ALJKXJ,A2PXJTMWGUE5DC,A233ONYNWKDIYF,A1KC138MX47DXA,A39R8UQ6U2MKHL,0.921541845,18,Polite,0.906479001,,,
Wikipedia,610652,"I was wondering, why did you do that, create that new cat and then add it to the polanski without any discussion at all? Have you read the polanski talkpage and seen the lengthy discussion regarding the cats there?",17,13,12,1,1,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A28K8ST8B2XU0N,A3IHLWMZNBLUR4,-0.831410238,8.8,Rude,0.157004996,,,
Wikipedia,517557,"Ok with you if I play white? I suck so I should go first....and, if you don't agree I will crush you like a mag.... whoa power rush..... Anyway ok with you?",9,10,1,1,11,A233ONYNWKDIYF,APDWVWS2HMSFD,AD317NO9623GZ,A28TXBSZPWMEU9,AIPK94CUWL45W,-1.817670719,6.4,Rude,0.573695096,,,
092011 Apple,4779,"Ah, I agree that ""comes with"" is misleading. But the remote administration client binary (to which I assumed he was referring) isn't called Remote Desktop?",9,5,11,9,9,AYG3MF094634L,A233ONYNWKDIYF,A28TXBSZPWMEU9,A32VJLRWGMYGSU,AI4WWBB2PNCKH,-1.300107374,8.6,Rude,0.909518597,,,
Wikipedia,345282,Which of course is all the more ironic as my initial edits were an attempt to ''improve'' the article per <url>. Who the hell would have predicted all this?,6,13,10,7,7,A2WKPCZU4U110T,A2UFD1I8ZO1V4G,AYG3MF094634L,A3EJ5TT2ZGBIDA,A2BE71BN177IH3,-1.668277747,8.6,Rude,0.803963015,,,
092011 Theoretical Computer Science,1500,Are the k in “k-CNF” and the k in the question the same variable?  And what is the parameter of this problem?,2,1,1,9,6,AYG3MF094634L,A3CPYEB0W3MLZK,A2FNOKJNY7E5WP,A2UFD1I8ZO1V4G,A1LRRDBA84ITCJ,-2.654862572,3.8,Rude,0.456973003,,,
Wikipedia,624283,I wasn't sure whether you were actually reading anything because facts seem to bounce off of you like bullets off of Superman. And you accuse ''me'' of fantasies?,3,3,1,1,1,A2QN0EGBRGJU1M,A2GSW5RBAT5LQ5,AO5E3LWBYM72K,A2ULMYRKQMNNFG,A3TFQK7QK8X6LM,-2.71700335,1.8,Rude,0.098926878,,,
092011 Stack Overflow,7065742,You *want* to see your password in your cookie? I suppose you like it when sites email you your *forgotten password* too?,1,9,5,2,13,A3G9MSZVWB7W42,A2UFD1I8ZO1V4G,A3E157ZN8XPUKJ,A28TXBSZPWMEU9,A14TK8NCD4CUN1,-2.985045155,6,Rude,0.795937764,,,
Wikipedia,351695,"I am far from worked up over this, but find it hard to AGF when someone tries to include inaccurate information into an article, claiming it had been checked by an administrator.  Who was the administrator?",13,12,1,9,9,A233ONYNWKDIYF,AYG3MF094634L,A2MWGIVIKOXWYM,A22CF8BF9YQND7,A38N58BSMTA0BE,-0.847744251,8.8,Rude,0.57834678,,,
092011 Unix and Linux,840,another great example for how google makes you stupid. does nobody ever read the documentation anymore?,25,19,17,17,21,A1VIEFZYI54JHP,ARYGQ46IMW8AU,A32VJLRWGMYGSU,A29B522D0BX6HN,AI4WWBB2PNCKH,1.532769214,19.8,Polite,0.128023062,,,
Wikipedia,389087,"Don't push it, Zachary. Can you give me proof of the existence of ""MusicMaximum Hot 100""?",13,9,9,9,4,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A1DTQSIIYIZL62,A38N58BSMTA0BE,-1.298101737,8.8,Rude,0.380190794,,,
092011 Stack Overflow,3139669,"I think the inner div will resize, as it has a width of 100%, but you won't notice it. You probably want to resize the image, too?",17,15,20,21,16,A1G05O3HM7DNVZ,A3EJ5TT2ZGBIDA,A17G2LOYX7WQZ,A3DKR227NQCH4X,A39FH0T1NKKMVO,0.569130579,17.8,Polite,0.908252501,,,
Wikipedia,246921,"Hi I noticed that you changed the category at <url> from ""People from Alabama"" to ""People from Elmore County, Alabama"". Is this appropriate, as Opothleyahola was dead for three years before Elmore county had been organized and had been forcibly removed from the area more than thirty years before?",17,17,17,16,21,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,AD317NO9623GZ,A28TXBSZPWMEU9,A236MXN66UEJW6,0.630399232,17.6,Polite,0.781088015,,,
Wikipedia,622124,"I understand ''your'' position, however I disagree with it, even regarding the spirit. <ins>Mostly because I don't see linking something as modification of the quote, therefore it's a moot point, even when coupled with bracketed additions.</ins> Perhaps we should see<ins>k</ins> comments from additional editors?",17,9,4,5,5,A233ONYNWKDIYF,AE3D6SE2D8UPQ,AO5E3LWBYM72K,A3H7G3TQXAYGYD,AZOAW8JH5HJJK,-1.128626089,8,Rude,0.155442584,,,
092011 Ask Ubuntu,3351,"Error 500 means, that connect to Apache is working, but something behind it does not.

What can you see in /var/log/apache2/error.log after trying to see the page?",5,13,5,1,17,A1KC138MX47DXA,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A1FF4KWG1G44QE,A13HSR88OUNIVP,-1.713811816,8.2,Rude,0.885412149,,,
Wikipedia,439750,Thanks for protecting this. Perhaps no longer needed?,17,17,17,19,18,AYG3MF094634L,A1F4D2PZ7NNWTL,A37ADCYLCSB5O2,A38N58BSMTA0BE,A2JKFTV0JXWMI6,1.072916112,17.6,Polite,0.422815732,,,
Wikipedia,418687,Nice continued work on the expressway articles.  Is it possible to have some maps or schematic diagrams showing the location or routes of the expressways?,17,24,21,17,12,AISPSIJ54U4SC,A1QV3X9YMQQ3OQ,AC25X12LNYY6Y,AZOAW8JH5HJJK,AEYHIQUDWJ3KV,0.910271841,18.2,Polite,0.667837305,,,
092011 Stack Overflow,7728196,"I'm sorry, but I'm really struggling to understand what the problem is. Would you mind rephrasing the text after the first code sample?",24,25,21,5,21,A2WRP1KHK1UU7L,A3MMLCBV2W3BP9,A14TK8NCD4CUN1,AO3XB5I5QNNUI,A1Z7WT01G55LDC,1.642315989,19.2,Polite,0.51140152,,,
Wikipedia,476702,Further: it seems to me that <url> was a perfectly reasonable dab page. I wonder why you needed to change it?,9,13,5,5,9,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2AMGE57IJVSHF,A29B522D0BX6HN,AIPK94CUWL45W,-1.309210903,8.2,Rude,0.571912952,,,
Wikipedia,483364,<person> is apparently caught up in that rangeblock. Can you help him out?,15,13,20,19,21,AUJNGT4ODJ6TE,A3S5L3I8O3Q2G,A2EKTJWJGLWVWV,A2AMGE57IJVSHF,A1LO3ERNARW7Y4,0.62380697,17.6,Polite,0.849989107,,,
Wikipedia,620617,Are you crazy down here?! What the heck is going on?,1,1,1,2,1,A377FGOJB9OTNG,A1N6LHJ8AZZ85F,AVHARSCRX7M9E,AC25X12LNYY6Y,A22CF8BF9YQND7,-1.961543608,1.2,Rude,0.527337826,,,
Wikipedia,196952,"While editing the COIN page regarding Ciplex, I accidently broke your sig. Since I don't want any more flame, could you please fix it?",21,21,14,17,19,A1T5YMBH35PDBX,A233ONYNWKDIYF,AI4WWBB2PNCKH,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,1.102925698,18.4,Polite,0.147091838,,,
Wikipedia,17000,"Sorry if it seems like I'm bugging you about the above image - I'm trying to determine the copyright holder, which needs to be specified on the image page per <url>a. When I click on the source link, I get an ""access forbidden"" message. Can you please specify the copyright holder on the page?",21,17,17,19,21,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,AIPK94CUWL45W,1.326944674,19,Polite,0.844591655,,,
Wikipedia,621292,Thanks for identifying it as self created. What license do you release it under?,21,21,17,21,21,A2X9AEDAHF7O7S,A3LSDGSZQEK7NF,A34A6MSJTD9A4L,A3E157ZN8XPUKJ,AC25X12LNYY6Y,0.719558572,20.2,Polite,0.096750059,,,
092011 Programmers,83019,"I know that ""click here"" should be avoided, at least for semantics. Can somebody please explain ""It ruins a perfectly good SEO opportunity""?",16,19,21,17,22,A3RLCGRXA34GC0,A23312XQ2AQ91W,A3E157ZN8XPUKJ,A2UFD1I8ZO1V4G,A13HSR88OUNIVP,0.809832892,19,Polite,0.890268186,,,
Wikipedia,500504,Wow! How did you find this?,13,19,21,25,13,A233ONYNWKDIYF,A2WKPCZU4U110T,A6YO9886DY2SC,AO5E3LWBYM72K,A1DTQSIIYIZL62,0.633176565,18.2,Polite,0.069385793,,,
092011 Stack Overflow,8455056,Really? What is the evidence that leads you to conclude that `';'` is interpreted as a sentence terminator?,6,9,13,5,7,A33SMNMTMIOJ6T,A1GGOZPHYU0OC0,A14TK8NCD4CUN1,AO3XB5I5QNNUI,A17G2LOYX7WQZ,-1.45536823,8,Rude,0.586166947,,,
092011 Stack Overflow,971207,"Why -1?
what wrong with ppl here?",5,4,9,8,11,A3T68OBEBCKJF7,A2OXXHGAM7B0Y,A3E157ZN8XPUKJ,A3EJ5TT2ZGBIDA,A34M93NJC830DP,-2.07521077,7.4,Rude,0.0567399,,,
Wikipedia,1151,"Thanks, the logo looks much better now. You wouldn't have a logo for the two predessesor clubs by any chance?",17,25,17,17,21,A2UFD1I8ZO1V4G,A1W2G1N4BDF2DW,A28TXBSZPWMEU9,AIPK94CUWL45W,A3IHLWMZNBLUR4,0.929719756,19.4,Polite,0.257051145,,,
092011 Drupal Answers,10026,I'm trying to do the same thing. Did you ever get an answer?,17,18,16,17,25,AO3XB5I5QNNUI,A23312XQ2AQ91W,A28TXBSZPWMEU9,A32VJLRWGMYGSU,A2MWGIVIKOXWYM,0.880873941,18.6,Polite,0.219532608,,,
092011 Home Improvement,8821,Soap on porous clay sounds like a good way to make your water taste like... soap. Perhaps consider disinfecting with a bleach solution instead?,5,9,13,1,13,AO3XB5I5QNNUI,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A1FF4KWG1G44QE,A1T5YMBH35PDBX,-1.005523101,8.2,Rude,0.298269783,,,
092011 Stack Overflow,2915540,Sorry Allen...Have you been able to reproduce the users problems ? do you trust the user ?,17,21,20,15,20,A3OW54MEVDKXJL,A3MMLCBV2W3BP9,A14TK8NCD4CUN1,A2BKPNKU3EG41Z,A2WGBPEN45GJNF,1.457984444,18.6,Polite,0.115163414,,,
092011 Stack Overflow,2682102,I'm having a little trouble following your description; do you want an algorithm to find graph automorphisms?  Or one to test whether a given permutation is an automorphism?,17,20,19,15,20,A2UFD1I8ZO1V4G,A17G2LOYX7WQZ,A3DGKW5JY87RCH,A2BKPNKU3EG41Z,A312BVGKE6BAS5,1.053753325,18.2,Polite,0.452826696,,,
Wikipedia,51868,"Hi, I have cleaned up this page and, in the AfD, identified many other sources and additional content. I  wonder if you would reconsider your delete !vote please (I will do the necessary expansion as and when there is a reasonable expectation of it being kept)?",17,9,17,25,21,A2UFD1I8ZO1V4G,A7GFJUB1W93A2,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,0.553551867,17.8,Polite,0.783732757,,,
092011 Gaming,9053,"This sounds like an open ended hardware request, which is likely to get your question closed. Can you make your question any more specific?",16,13,21,17,21,AYG3MF094634L,A233ONYNWKDIYF,ALQJX7I6J8LDT,A2UFD1I8ZO1V4G,A1LRRDBA84ITCJ,1.070277579,17.6,Polite,0.202984861,,,
Wikipedia,4361,"I'm sure. How about we let the sockpuppet investigation let us know for certain, m'kay?",6,1,9,4,10,AO5E3LWBYM72K,A3MN5VOZFQPNZF,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,-1.647022935,6,Rude,0.694947266,,,
Wikipedia,218069,Thanks!  What type of documentation do you want u2014 an explanation of using the notes feature?,21,16,14,17,21,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A2LQ33BQ8G259D,A1RT9SQ9D9DLOV,A22CF8BF9YQND7,0.981139452,17.8,Polite,0.291887802,,,
Wikipedia,619207,"I'm on it. Instead, could I persuade you to offer comments on the FAC page of <url>?",25,17,18,10,21,A1R4VG71V6XECZ,A233ONYNWKDIYF,A1E0EK09CA5OIO,A1F4D2PZ7NNWTL,A37ADCYLCSB5O2,0.954797543,18.2,Polite,0.712100866,,,
092011 IT Security,2108,Why did using VirtualBox not work? Did you set up the networking correctly (adding a host-only adapter to the VM)?,17,6,9,11,1,AO3XB5I5QNNUI,AYG3MF094634L,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,ARX0S1CIDJLOX,-1.303352826,8.8,Rude,0.26402275,,,
Wikipedia,135,"I moved '''Engine Arm Aqueduct''' to <url>, because there seemed to be much more content about the canal than the actual <url>. Does that seem reasonable, to you?",17,17,19,25,17,A1T5YMBH35PDBX,AO3XB5I5QNNUI,A31RP7HI5172B,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,0.951635476,19,Polite,0.299989737,,,
092011 Webmasters,5152,um... sorry... i mean... getting 100 results or 200 results from above search affects page rank or not? is 200 results better than 100 results in terms of SEO?,21,14,17,20,25,AYG3MF094634L,A23312XQ2AQ91W,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,AR6N5URYPDBXS,1.677232621,19.4,Polite,0.151389125,,,
092011 Programmers,104285,I don't understand how a folder-based file system is not a hierarchical system. Could you please explain further?,17,21,21,25,25,A233ONYNWKDIYF,A23312XQ2AQ91W,A2UFD1I8ZO1V4G,A1FF4KWG1G44QE,A19AVMJ21AXYUM,1.748504139,21.8,Polite,0.573546756,,,
092011 Stack Apps,2906,"An API is not at fault if they allow requests to take place more than 30 time in 5 seconds, right?  Or do we need to build throttling into our API?",21,22,21,21,25,A233ONYNWKDIYF,A23312XQ2AQ91W,A1WURT0GIKFRC9,AI4WWBB2PNCKH,A13HSR88OUNIVP,1.632652952,22,Polite,0.844675907,,,
Wikipedia,526013,Thanks for continuing to look over the article.  Do you know or do you know anyone that knows anything about the <url> or the <url>?,19,21,25,23,21,A1E0EK09CA5OIO,AO3XB5I5QNNUI,A2GD31JIW0OCYO,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,1.369292212,21.8,Polite,0.154983584,,,
092011 Stack Overflow,3609009,"@ David Thornley: Become a professional-grade programmer, also want participate in coding contest(Codechef, Topcoders),both have equal priorities

What you suggest what kind of preparation i need to take ?",13,21,18,19,21,A3R637QBE0IXDF,A3E157ZN8XPUKJ,A3OZ8KF0HWSVWK,AP6784DKV31O6,A1Z7WT01G55LDC,0.692541735,18.4,Polite,0.551650543,,,
Wikipedia,468308,"Thanks for telling me. Do you just perform the rename, and I then re-create the account to take it for myself?",16,17,21,17,21,A233ONYNWKDIYF,A2EJ6MKRFATU5I,AD317NO9623GZ,A3S5L3I8O3Q2G,A3IHLWMZNBLUR4,0.959423399,18.4,Polite,0.965618664,,,
Wikipedia,395661,I had a look at the place noted on the top of the talk page about 1rr and I was unable to find the sanction you talked about. Where is it listed please?,21,18,17,17,21,A233ONYNWKDIYF,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,AIPK94CUWL45W,1.362112258,18.8,Polite,0.197505966,,,
